 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355180 Sete Barras
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";601;569;1170
"De 5 a 9 anos";594;550;1144
"De 10 a 14 anos";586;568;1154
"De 15 a 19 anos";554;536;1090
"De 20 a 24 anos";504;474;978
"De 25 a 29 anos";459;459;918
"De 30 a 34 anos";488;487;975
"De 35 a 39 anos";467;468;935
"De 40 a 44 anos";430;415;845
"De 45 a 49 anos";401;379;780
"De 50 a 54 anos";374;352;726
"De 55 a 59 anos";350;323;673
"De 60 a 64 anos";299;249;548
"De 65 a 69 anos";244;205;449
"De 70 a 74 anos";178;160;338
"De 75 a 79 anos";112;104;216
"De 80 anos ou mais";104;119;223
"Total";6745;6417;13162
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

