 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355280 Taboão da Serra
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";10669;10187;20856
"De 5 a 9 anos";10357;10015;20372
"De 10 a 14 anos";10735;10519;21254
"De 15 a 19 anos";11306;11217;22523
"De 20 a 24 anos";10886;11042;21928
"De 25 a 29 anos";12031;12511;24542
"De 30 a 34 anos";11919;13014;24933
"De 35 a 39 anos";10758;12065;22823
"De 40 a 44 anos";9188;10390;19578
"De 45 a 49 anos";8254;9360;17614
"De 50 a 54 anos";6582;8116;14698
"De 55 a 59 anos";5463;6756;12219
"De 60 a 64 anos";4016;5198;9214
"De 65 a 69 anos";2702;3761;6463
"De 70 a 74 anos";1673;2420;4093
"De 75 a 79 anos";994;1663;2657
"De 80 anos ou mais";767;1790;2557
"Total";128300;140024;268324
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

