 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355440 Terra Roxa
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";344;327;671
"De 5 a 9 anos";369;303;672
"De 10 a 14 anos";358;344;702
"De 15 a 19 anos";405;393;798
"De 20 a 24 anos";389;373;762
"De 25 a 29 anos";346;317;663
"De 30 a 34 anos";296;300;596
"De 35 a 39 anos";314;293;607
"De 40 a 44 anos";304;296;600
"De 45 a 49 anos";291;264;555
"De 50 a 54 anos";233;220;453
"De 55 a 59 anos";167;189;356
"De 60 a 64 anos";132;129;261
"De 65 a 69 anos";103;126;229
"De 70 a 74 anos";79;113;192
"De 75 a 79 anos";67;87;154
"De 80 anos ou mais";50;82;132
"Total";4247;4156;8403
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

