 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355520 Turiúba
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";67;45;112
"De 5 a 9 anos";83;60;143
"De 10 a 14 anos";79;78;157
"De 15 a 19 anos";87;80;167
"De 20 a 24 anos";74;69;143
"De 25 a 29 anos";54;70;124
"De 30 a 34 anos";63;67;130
"De 35 a 39 anos";75;77;152
"De 40 a 44 anos";74;62;136
"De 45 a 49 anos";75;64;139
"De 50 a 54 anos";66;59;125
"De 55 a 59 anos";60;56;116
"De 60 a 64 anos";45;51;96
"De 65 a 69 anos";41;44;85
"De 70 a 74 anos";23;21;44
"De 75 a 79 anos";19;23;42
"De 80 anos ou mais";8;16;24
"Total";993;942;1935
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

