 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355530 Turmalina
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";32;31;63
"De 5 a 9 anos";32;42;74
"De 10 a 14 anos";41;38;79
"De 15 a 19 anos";50;39;89
"De 20 a 24 anos";51;56;107
"De 25 a 29 anos";68;60;128
"De 30 a 34 anos";53;54;107
"De 35 a 39 anos";46;48;94
"De 40 a 44 anos";54;62;116
"De 45 a 49 anos";67;73;140
"De 50 a 54 anos";85;88;173
"De 55 a 59 anos";88;79;167
"De 60 a 64 anos";63;64;127
"De 65 a 69 anos";50;56;106
"De 70 a 74 anos";45;45;90
"De 75 a 79 anos";36;32;68
"De 80 anos ou mais";34;29;63
"Total";895;896;1791
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

