 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355540 Ubatuba
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3741;3538;7279
"De 5 a 9 anos";3632;3462;7094
"De 10 a 14 anos";3518;3493;7011
"De 15 a 19 anos";3490;3441;6931
"De 20 a 24 anos";3371;3294;6665
"De 25 a 29 anos";3125;3026;6151
"De 30 a 34 anos";2900;2789;5689
"De 35 a 39 anos";2640;2623;5263
"De 40 a 44 anos";2281;2230;4511
"De 45 a 49 anos";1847;1751;3598
"De 50 a 54 anos";1411;1390;2801
"De 55 a 59 anos";1022;975;1997
"De 60 a 64 anos";786;742;1528
"De 65 a 69 anos";565;618;1183
"De 70 a 74 anos";423;426;849
"De 75 a 79 anos";267;346;613
"De 80 anos ou mais";151;208;359
"Total";35170;34352;69522
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

