 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355570 União Paulista
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";54;53;107
"De 5 a 9 anos";65;60;125
"De 10 a 14 anos";56;58;114
"De 15 a 19 anos";67;58;125
"De 20 a 24 anos";55;49;104
"De 25 a 29 anos";50;54;104
"De 30 a 34 anos";57;53;110
"De 35 a 39 anos";54;52;106
"De 40 a 44 anos";52;42;94
"De 45 a 49 anos";54;39;93
"De 50 a 54 anos";40;32;72
"De 55 a 59 anos";31;36;67
"De 60 a 64 anos";27;26;53
"De 65 a 69 anos";28;26;54
"De 70 a 74 anos";19;19;38
"De 75 a 79 anos";18;7;25
"De 80 anos ou mais";8;9;17
"Total";735;673;1408
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

