 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355635 Vargem
Período:2007
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";308;294;602
"De 5 a 9 anos";345;344;689
"De 10 a 14 anos";342;319;661
"De 15 a 19 anos";381;343;724
"De 20 a 24 anos";388;378;766
"De 25 a 29 anos";362;331;693
"De 30 a 34 anos";343;314;657
"De 35 a 39 anos";301;295;596
"De 40 a 44 anos";281;266;547
"De 45 a 49 anos";259;250;509
"De 50 a 54 anos";231;226;457
"De 55 a 59 anos";220;199;419
"De 60 a 64 anos";189;162;351
"De 65 a 69 anos";146;120;266
"De 70 a 74 anos";106;102;208
"De 75 a 79 anos";82;85;167
"De 80 anos ou mais";72;84;156
"Total";4356;4112;8468
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

