 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 355645 Vargem Grande Paulista
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1803;1719;3522
"De 5 a 9 anos";1867;1773;3640
"De 10 a 14 anos";1710;1653;3363
"De 15 a 19 anos";1884;1875;3759
"De 20 a 24 anos";1988;1960;3948
"De 25 a 29 anos";1840;1819;3659
"De 30 a 34 anos";1543;1575;3118
"De 35 a 39 anos";1443;1498;2941
"De 40 a 44 anos";1313;1440;2753
"De 45 a 49 anos";1185;1173;2358
"De 50 a 54 anos";906;943;1849
"De 55 a 59 anos";675;664;1339
"De 60 a 64 anos";438;473;911
"De 65 a 69 anos";331;363;694
"De 70 a 74 anos";232;241;473
"De 75 a 79 anos";133;174;307
"De 80 anos ou mais";106;157;263
"Total";19397;19500;38897
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

