 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410370 Cambé
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";4282;4060;8342
"De 5 a 9 anos";4136;4089;8225
"De 10 a 14 anos";4244;4247;8491
"De 15 a 19 anos";4326;4292;8618
"De 20 a 24 anos";4234;4164;8398
"De 25 a 29 anos";3926;3795;7721
"De 30 a 34 anos";3738;3986;7724
"De 35 a 39 anos";3420;3538;6958
"De 40 a 44 anos";2800;3106;5906
"De 45 a 49 anos";2389;2628;5017
"De 50 a 54 anos";2007;2056;4063
"De 55 a 59 anos";1526;1556;3082
"De 60 a 64 anos";1184;1296;2480
"De 65 a 69 anos";886;1085;1971
"De 70 a 74 anos";702;780;1482
"De 75 a 79 anos";479;555;1034
"De 80 anos ou mais";255;355;610
"Total";44534;45588;90122
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

