 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410445 Cantagalo
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";600;562;1162
"De 5 a 9 anos";726;631;1357
"De 10 a 14 anos";740;709;1449
"De 15 a 19 anos";653;606;1259
"De 20 a 24 anos";524;529;1053
"De 25 a 29 anos";479;481;960
"De 30 a 34 anos";474;491;965
"De 35 a 39 anos";449;483;932
"De 40 a 44 anos";454;414;868
"De 45 a 49 anos";376;369;745
"De 50 a 54 anos";329;348;677
"De 55 a 59 anos";268;276;544
"De 60 a 64 anos";213;193;406
"De 65 a 69 anos";163;151;314
"De 70 a 74 anos";104;113;217
"De 75 a 79 anos";70;78;148
"De 80 anos ou mais";64;69;133
"Total";6686;6503;13189
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

