 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410560 Cidade Gaúcha
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";423;395;818
"De 5 a 9 anos";472;447;919
"De 10 a 14 anos";510;518;1028
"De 15 a 19 anos";509;507;1016
"De 20 a 24 anos";509;451;960
"De 25 a 29 anos";473;447;920
"De 30 a 34 anos";455;459;914
"De 35 a 39 anos";404;434;838
"De 40 a 44 anos";419;395;814
"De 45 a 49 anos";335;357;692
"De 50 a 54 anos";274;285;559
"De 55 a 59 anos";225;229;454
"De 60 a 64 anos";173;183;356
"De 65 a 69 anos";128;159;287
"De 70 a 74 anos";122;126;248
"De 75 a 79 anos";83;79;162
"De 80 anos ou mais";69;91;160
"Total";5583;5562;11145
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

