 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410700 Curiúva
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";581;519;1100
"De 5 a 9 anos";620;561;1181
"De 10 a 14 anos";735;645;1380
"De 15 a 19 anos";669;646;1315
"De 20 a 24 anos";578;580;1158
"De 25 a 29 anos";531;569;1100
"De 30 a 34 anos";511;513;1024
"De 35 a 39 anos";506;489;995
"De 40 a 44 anos";447;500;947
"De 45 a 49 anos";446;440;886
"De 50 a 54 anos";427;372;799
"De 55 a 59 anos";329;286;615
"De 60 a 64 anos";255;261;516
"De 65 a 69 anos";248;210;458
"De 70 a 74 anos";169;153;322
"De 75 a 79 anos";93;100;193
"De 80 anos ou mais";105;107;212
"Total";7250;6951;14201
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

