 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410712 Diamante do Sul
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";147;140;287
"De 5 a 9 anos";126;132;258
"De 10 a 14 anos";115;129;244
"De 15 a 19 anos";137;155;292
"De 20 a 24 anos";165;153;318
"De 25 a 29 anos";122;136;258
"De 30 a 34 anos";111;120;231
"De 35 a 39 anos";133;123;256
"De 40 a 44 anos";137;117;254
"De 45 a 49 anos";126;111;237
"De 50 a 54 anos";126;113;239
"De 55 a 59 anos";85;76;161
"De 60 a 64 anos";60;56;116
"De 65 a 69 anos";61;53;114
"De 70 a 74 anos";46;35;81
"De 75 a 79 anos";32;25;57
"De 80 anos ou mais";35;32;67
"Total";1764;1706;3470
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

