 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410752 Esperança Nova
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";70;73;143
"De 5 a 9 anos";74;92;166
"De 10 a 14 anos";83;91;174
"De 15 a 19 anos";100;91;191
"De 20 a 24 anos";92;92;184
"De 25 a 29 anos";86;91;177
"De 30 a 34 anos";81;90;171
"De 35 a 39 anos";87;82;169
"De 40 a 44 anos";73;73;146
"De 45 a 49 anos";63;66;129
"De 50 a 54 anos";59;68;127
"De 55 a 59 anos";55;62;117
"De 60 a 64 anos";56;52;108
"De 65 a 69 anos";46;40;86
"De 70 a 74 anos";36;31;67
"De 75 a 79 anos";27;19;46
"De 80 anos ou mais";19;18;37
"Total";1107;1131;2238
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

