 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410754 Espigão Alto do Iguaçu
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";260;249;509
"De 5 a 9 anos";276;268;544
"De 10 a 14 anos";246;257;503
"De 15 a 19 anos";254;234;488
"De 20 a 24 anos";226;216;442
"De 25 a 29 anos";184;177;361
"De 30 a 34 anos";180;164;344
"De 35 a 39 anos";169;166;335
"De 40 a 44 anos";163;161;324
"De 45 a 49 anos";162;129;291
"De 50 a 54 anos";131;117;248
"De 55 a 59 anos";115;107;222
"De 60 a 64 anos";105;92;197
"De 65 a 69 anos";76;65;141
"De 70 a 74 anos";54;58;112
"De 75 a 79 anos";32;28;60
"De 80 anos ou mais";23;34;57
"Total";2656;2522;5178
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

