 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410773 Fernandes Pinheiro
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";295;283;578
"De 5 a 9 anos";359;348;707
"De 10 a 14 anos";324;341;665
"De 15 a 19 anos";301;306;607
"De 20 a 24 anos";311;250;561
"De 25 a 29 anos";266;229;495
"De 30 a 34 anos";254;231;485
"De 35 a 39 anos";239;226;465
"De 40 a 44 anos";210;187;397
"De 45 a 49 anos";180;144;324
"De 50 a 54 anos";151;131;282
"De 55 a 59 anos";107;109;216
"De 60 a 64 anos";88;73;161
"De 65 a 69 anos";65;69;134
"De 70 a 74 anos";56;55;111
"De 75 a 79 anos";36;39;75
"De 80 anos ou mais";23;19;42
"Total";3265;3040;6305
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

