 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 410990 Icaraíma
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";389;359;748
"De 5 a 9 anos";479;405;884
"De 10 a 14 anos";451;417;868
"De 15 a 19 anos";439;418;857
"De 20 a 24 anos";403;370;773
"De 25 a 29 anos";347;356;703
"De 30 a 34 anos";366;366;732
"De 35 a 39 anos";340;376;716
"De 40 a 44 anos";310;323;633
"De 45 a 49 anos";292;291;583
"De 50 a 54 anos";242;254;496
"De 55 a 59 anos";225;231;456
"De 60 a 64 anos";203;189;392
"De 65 a 69 anos";166;146;312
"De 70 a 74 anos";134;112;246
"De 75 a 79 anos";91;79;170
"De 80 anos ou mais";66;76;142
"Total";4943;4768;9711
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

