 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411020 Inácio Martins
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";535;504;1039
"De 5 a 9 anos";525;498;1023
"De 10 a 14 anos";581;563;1144
"De 15 a 19 anos";588;557;1145
"De 20 a 24 anos";495;462;957
"De 25 a 29 anos";381;373;754
"De 30 a 34 anos";390;383;773
"De 35 a 39 anos";409;410;819
"De 40 a 44 anos";388;367;755
"De 45 a 49 anos";350;305;655
"De 50 a 54 anos";292;259;551
"De 55 a 59 anos";245;217;462
"De 60 a 64 anos";191;157;348
"De 65 a 69 anos";134;127;261
"De 70 a 74 anos";98;109;207
"De 75 a 79 anos";63;72;135
"De 80 anos ou mais";54;68;122
"Total";5719;5431;11150
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

