 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411190 Jaguapitã
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";443;422;865
"De 5 a 9 anos";445;424;869
"De 10 a 14 anos";438;420;858
"De 15 a 19 anos";466;426;892
"De 20 a 24 anos";545;490;1035
"De 25 a 29 anos";576;525;1101
"De 30 a 34 anos";539;575;1114
"De 35 a 39 anos";528;531;1059
"De 40 a 44 anos";508;482;990
"De 45 a 49 anos";449;471;920
"De 50 a 54 anos";448;464;912
"De 55 a 59 anos";393;427;820
"De 60 a 64 anos";363;334;697
"De 65 a 69 anos";243;273;516
"De 70 a 74 anos";183;228;411
"De 75 a 79 anos";131;147;278
"De 80 anos ou mais";176;229;405
"Total";6874;6868;13742
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

