 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411220 Janiópolis
Período:2010
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";209;178;387
"De 5 a 9 anos";249;219;468
"De 10 a 14 anos";291;272;563
"De 15 a 19 anos";317;301;618
"De 20 a 24 anos";246;233;479
"De 25 a 29 anos";196;236;432
"De 30 a 34 anos";196;198;394
"De 35 a 39 anos";229;252;481
"De 40 a 44 anos";221;245;466
"De 45 a 49 anos";259;233;492
"De 50 a 54 anos";204;220;424
"De 55 a 59 anos";183;201;384
"De 60 a 64 anos";168;160;328
"De 65 a 69 anos";130;139;269
"De 70 a 74 anos";93;105;198
"De 75 a 79 anos";74;60;134
"De 80 anos ou mais";74;72;146
"Total";3339;3324;6663
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

