 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411295 Juranda
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";205;196;401
"De 5 a 9 anos";195;196;391
"De 10 a 14 anos";273;281;554
"De 15 a 19 anos";312;279;591
"De 20 a 24 anos";327;275;602
"De 25 a 29 anos";262;286;548
"De 30 a 34 anos";272;283;555
"De 35 a 39 anos";272;285;557
"De 40 a 44 anos";275;315;590
"De 45 a 49 anos";304;304;608
"De 50 a 54 anos";279;293;572
"De 55 a 59 anos";220;221;441
"De 60 a 64 anos";166;178;344
"De 65 a 69 anos";116;147;263
"De 70 a 74 anos";97;102;199
"De 75 a 79 anos";80;84;164
"De 80 anos ou mais";77;80;157
"Total";3732;3805;7537
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

