 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411342 Lidianópolis
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";130;126;256
"De 5 a 9 anos";139;136;275
"De 10 a 14 anos";148;155;303
"De 15 a 19 anos";178;184;362
"De 20 a 24 anos";138;142;280
"De 25 a 29 anos";126;128;254
"De 30 a 34 anos";131;127;258
"De 35 a 39 anos";135;170;305
"De 40 a 44 anos";187;168;355
"De 45 a 49 anos";144;140;284
"De 50 a 54 anos";129;133;262
"De 55 a 59 anos";113;125;238
"De 60 a 64 anos";101;106;207
"De 65 a 69 anos";94;89;183
"De 70 a 74 anos";63;62;125
"De 75 a 79 anos";54;37;91
"De 80 anos ou mais";38;51;89
"Total";2048;2079;4127
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

