 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411390 Mallet
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";435;415;850
"De 5 a 9 anos";492;502;994
"De 10 a 14 anos";564;529;1093
"De 15 a 19 anos";631;580;1211
"De 20 a 24 anos";577;512;1089
"De 25 a 29 anos";557;497;1054
"De 30 a 34 anos";542;460;1002
"De 35 a 39 anos";484;446;930
"De 40 a 44 anos";497;439;936
"De 45 a 49 anos";513;410;923
"De 50 a 54 anos";422;385;807
"De 55 a 59 anos";357;308;665
"De 60 a 64 anos";270;259;529
"De 65 a 69 anos";192;203;395
"De 70 a 74 anos";127;173;300
"De 75 a 79 anos";99;147;246
"De 80 anos ou mais";93;149;242
"Total";6852;6414;13266
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

