 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411725 Nova Prata do Iguaçu
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";353;303;656
"De 5 a 9 anos";415;382;797
"De 10 a 14 anos";494;454;948
"De 15 a 19 anos";499;470;969
"De 20 a 24 anos";444;424;868
"De 25 a 29 anos";377;415;792
"De 30 a 34 anos";375;361;736
"De 35 a 39 anos";398;389;787
"De 40 a 44 anos";400;385;785
"De 45 a 49 anos";361;361;722
"De 50 a 54 anos";306;301;607
"De 55 a 59 anos";237;260;497
"De 60 a 64 anos";225;235;460
"De 65 a 69 anos";176;194;370
"De 70 a 74 anos";115;137;252
"De 75 a 79 anos";72;97;169
"De 80 anos ou mais";79;86;165
"Total";5326;5254;10580
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

