 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411760 Palmas
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2241;2151;4392
"De 5 a 9 anos";2353;2323;4676
"De 10 a 14 anos";2150;2097;4247
"De 15 a 19 anos";2007;1959;3966
"De 20 a 24 anos";1775;1798;3573
"De 25 a 29 anos";1580;1673;3253
"De 30 a 34 anos";1441;1576;3017
"De 35 a 39 anos";1327;1365;2692
"De 40 a 44 anos";1116;1181;2297
"De 45 a 49 anos";882;995;1877
"De 50 a 54 anos";748;748;1496
"De 55 a 59 anos";553;579;1132
"De 60 a 64 anos";399;462;861
"De 65 a 69 anos";309;327;636
"De 70 a 74 anos";215;280;495
"De 75 a 79 anos";137;187;324
"De 80 anos ou mais";118;164;282
"Total";19351;19865;39216
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

