 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411800 Paraíso do Norte
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";427;430;857
"De 5 a 9 anos";430;438;868
"De 10 a 14 anos";479;473;952
"De 15 a 19 anos";552;526;1078
"De 20 a 24 anos";589;524;1113
"De 25 a 29 anos";546;500;1046
"De 30 a 34 anos";490;463;953
"De 35 a 39 anos";458;473;931
"De 40 a 44 anos";459;485;944
"De 45 a 49 anos";416;431;847
"De 50 a 54 anos";339;366;705
"De 55 a 59 anos";283;297;580
"De 60 a 64 anos";221;238;459
"De 65 a 69 anos";157;187;344
"De 70 a 74 anos";131;152;283
"De 75 a 79 anos";100;117;217
"De 80 anos ou mais";97;127;224
"Total";6174;6227;12401
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

