 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411820 Paranaguá
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";7287;6971;14258
"De 5 a 9 anos";7062;6881;13943
"De 10 a 14 anos";6648;6512;13160
"De 15 a 19 anos";6568;6449;13017
"De 20 a 24 anos";5977;6029;12006
"De 25 a 29 anos";5527;5556;11083
"De 30 a 34 anos";5309;5408;10717
"De 35 a 39 anos";4954;5031;9985
"De 40 a 44 anos";4059;4092;8151
"De 45 a 49 anos";3268;3387;6655
"De 50 a 54 anos";2556;2704;5260
"De 55 a 59 anos";1926;2109;4035
"De 60 a 64 anos";1626;1708;3334
"De 65 a 69 anos";1213;1300;2513
"De 70 a 74 anos";798;926;1724
"De 75 a 79 anos";524;687;1211
"De 80 anos ou mais";273;467;740
"Total";65575;66217;131792
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

