 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411840 Paranavaí
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2785;2653;5438
"De 5 a 9 anos";2870;2743;5613
"De 10 a 14 anos";3049;2957;6006
"De 15 a 19 anos";3402;3303;6705
"De 20 a 24 anos";3442;3449;6891
"De 25 a 29 anos";3284;3409;6693
"De 30 a 34 anos";3140;3325;6465
"De 35 a 39 anos";2905;3181;6086
"De 40 a 44 anos";2952;3194;6146
"De 45 a 49 anos";2967;3312;6279
"De 50 a 54 anos";2596;3085;5681
"De 55 a 59 anos";2194;2540;4734
"De 60 a 64 anos";1711;2035;3746
"De 65 a 69 anos";1326;1719;3045
"De 70 a 74 anos";1016;1314;2330
"De 75 a 79 anos";803;919;1722
"De 80 anos ou mais";801;1116;1917
"Total";41243;44254;85497
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

