 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411885 Perobal
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";201;192;393
"De 5 a 9 anos";231;224;455
"De 10 a 14 anos";242;229;471
"De 15 a 19 anos";265;234;499
"De 20 a 24 anos";252;231;483
"De 25 a 29 anos";195;214;409
"De 30 a 34 anos";233;224;457
"De 35 a 39 anos";222;231;453
"De 40 a 44 anos";214;214;428
"De 45 a 49 anos";173;176;349
"De 50 a 54 anos";130;148;278
"De 55 a 59 anos";120;124;244
"De 60 a 64 anos";107;109;216
"De 65 a 69 anos";89;86;175
"De 70 a 74 anos";74;77;151
"De 75 a 79 anos";46;45;91
"De 80 anos ou mais";42;43;85
"Total";2836;2801;5637
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

