 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 411925 Pinhal de São Bento
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";104;99;203
"De 5 a 9 anos";102;93;195
"De 10 a 14 anos";101;63;164
"De 15 a 19 anos";101;76;177
"De 20 a 24 anos";90;103;193
"De 25 a 29 anos";109;130;239
"De 30 a 34 anos";96;86;182
"De 35 a 39 anos";98;95;193
"De 40 a 44 anos";74;78;152
"De 45 a 49 anos";100;101;201
"De 50 a 54 anos";98;79;177
"De 55 a 59 anos";93;101;194
"De 60 a 64 anos";97;75;172
"De 65 a 69 anos";56;56;112
"De 70 a 74 anos";33;43;76
"De 75 a 79 anos";28;30;58
"De 80 anos ou mais";22;27;49
"Total";1402;1335;2737
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

