 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412030 Porto Vitória
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";229;199;428
"De 5 a 9 anos";235;236;471
"De 10 a 14 anos";220;186;406
"De 15 a 19 anos";214;183;397
"De 20 a 24 anos";198;165;363
"De 25 a 29 anos";162;159;321
"De 30 a 34 anos";165;147;312
"De 35 a 39 anos";146;143;289
"De 40 a 44 anos";124;112;236
"De 45 a 49 anos";102;104;206
"De 50 a 54 anos";99;81;180
"De 55 a 59 anos";70;67;137
"De 60 a 64 anos";60;64;124
"De 65 a 69 anos";52;59;111
"De 70 a 74 anos";34;34;68
"De 75 a 79 anos";19;32;51
"De 80 anos ou mais";16;19;35
"Total";2145;1990;4135
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

