 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412135 Rancho Alegre D'Oeste
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";136;139;275
"De 5 a 9 anos";155;156;311
"De 10 a 14 anos";165;158;323
"De 15 a 19 anos";144;159;303
"De 20 a 24 anos";133;136;269
"De 25 a 29 anos";129;139;268
"De 30 a 34 anos";136;129;265
"De 35 a 39 anos";126;114;240
"De 40 a 44 anos";101;97;198
"De 45 a 49 anos";86;80;166
"De 50 a 54 anos";67;56;123
"De 55 a 59 anos";53;61;114
"De 60 a 64 anos";52;49;101
"De 65 a 69 anos";41;40;81
"De 70 a 74 anos";37;20;57
"De 75 a 79 anos";17;13;30
"De 80 anos ou mais";10;16;26
"Total";1588;1562;3150
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

