 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412150 Rebouças
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";536;513;1049
"De 5 a 9 anos";585;569;1154
"De 10 a 14 anos";698;619;1317
"De 15 a 19 anos";695;642;1337
"De 20 a 24 anos";623;588;1211
"De 25 a 29 anos";573;533;1106
"De 30 a 34 anos";499;500;999
"De 35 a 39 anos";467;509;976
"De 40 a 44 anos";517;524;1041
"De 45 a 49 anos";510;490;1000
"De 50 a 54 anos";440;406;846
"De 55 a 59 anos";378;344;722
"De 60 a 64 anos";289;298;587
"De 65 a 69 anos";231;224;455
"De 70 a 74 anos";154;158;312
"De 75 a 79 anos";96;114;210
"De 80 anos ou mais";100;132;232
"Total";7391;7163;14554
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

