 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412250 Roncador
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";350;333;683
"De 5 a 9 anos";318;335;653
"De 10 a 14 anos";414;358;772
"De 15 a 19 anos";416;363;779
"De 20 a 24 anos";402;403;805
"De 25 a 29 anos";375;378;753
"De 30 a 34 anos";383;405;788
"De 35 a 39 anos";364;378;742
"De 40 a 44 anos";382;397;779
"De 45 a 49 anos";352;386;738
"De 50 a 54 anos";374;353;727
"De 55 a 59 anos";294;296;590
"De 60 a 64 anos";245;270;515
"De 65 a 69 anos";201;204;405
"De 70 a 74 anos";154;156;310
"De 75 a 79 anos";102;111;213
"De 80 anos ou mais";118;112;230
"Total";5244;5238;10482
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

