 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412520 São Jorge d'Oeste
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";281;261;542
"De 5 a 9 anos";295;255;550
"De 10 a 14 anos";307;304;611
"De 15 a 19 anos";363;354;717
"De 20 a 24 anos";377;391;768
"De 25 a 29 anos";330;366;696
"De 30 a 34 anos";317;331;648
"De 35 a 39 anos";302;289;591
"De 40 a 44 anos";331;322;653
"De 45 a 49 anos";351;372;723
"De 50 a 54 anos";348;312;660
"De 55 a 59 anos";290;280;570
"De 60 a 64 anos";234;229;463
"De 65 a 69 anos";159;165;324
"De 70 a 74 anos";127;148;275
"De 75 a 79 anos";89;98;187
"De 80 anos ou mais";88;105;193
"Total";4589;4582;9171
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

