 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412540 São José da Boa Vista
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";218;200;418
"De 5 a 9 anos";221;232;453
"De 10 a 14 anos";309;281;590
"De 15 a 19 anos";305;275;580
"De 20 a 24 anos";242;226;468
"De 25 a 29 anos";223;226;449
"De 30 a 34 anos";210;220;430
"De 35 a 39 anos";222;194;416
"De 40 a 44 anos";258;209;467
"De 45 a 49 anos";246;226;472
"De 50 a 54 anos";219;207;426
"De 55 a 59 anos";191;186;377
"De 60 a 64 anos";165;156;321
"De 65 a 69 anos";121;110;231
"De 70 a 74 anos";91;82;173
"De 75 a 79 anos";73;66;139
"De 80 anos ou mais";72;65;137
"Total";3386;3161;6547
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

