 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412575 São Pedro do Iguaçu
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";191;182;373
"De 5 a 9 anos";189;173;362
"De 10 a 14 anos";181;173;354
"De 15 a 19 anos";196;192;388
"De 20 a 24 anos";219;222;441
"De 25 a 29 anos";218;230;448
"De 30 a 34 anos";202;214;416
"De 35 a 39 anos";196;207;403
"De 40 a 44 anos";202;198;400
"De 45 a 49 anos";214;218;432
"De 50 a 54 anos";197;207;404
"De 55 a 59 anos";172;191;363
"De 60 a 64 anos";161;178;339
"De 65 a 69 anos";142;145;287
"De 70 a 74 anos";127;112;239
"De 75 a 79 anos";94;70;164
"De 80 anos ou mais";88;75;163
"Total";2989;2987;5976
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

