 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412590 São Pedro do Paraná
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";80;70;150
"De 5 a 9 anos";109;104;213
"De 10 a 14 anos";127;105;232
"De 15 a 19 anos";118;107;225
"De 20 a 24 anos";106;90;196
"De 25 a 29 anos";84;93;177
"De 30 a 34 anos";101;91;192
"De 35 a 39 anos";101;111;212
"De 40 a 44 anos";98;103;201
"De 45 a 49 anos";85;87;172
"De 50 a 54 anos";73;69;142
"De 55 a 59 anos";60;66;126
"De 60 a 64 anos";51;60;111
"De 65 a 69 anos";47;45;92
"De 70 a 74 anos";37;28;65
"De 75 a 79 anos";19;18;37
"De 80 anos ou mais";20;24;44
"Total";1316;1271;2587
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

