 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412610 São Tomé
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";210;200;410
"De 5 a 9 anos";237;214;451
"De 10 a 14 anos";244;242;486
"De 15 a 19 anos";268;246;514
"De 20 a 24 anos";216;215;431
"De 25 a 29 anos";230;204;434
"De 30 a 34 anos";193;194;387
"De 35 a 39 anos";204;235;439
"De 40 a 44 anos";192;197;389
"De 45 a 49 anos";158;168;326
"De 50 a 54 anos";137;128;265
"De 55 a 59 anos";111;96;207
"De 60 a 64 anos";87;88;175
"De 65 a 69 anos";65;66;131
"De 70 a 74 anos";57;60;117
"De 75 a 79 anos";40;46;86
"De 80 anos ou mais";29;42;71
"Total";2678;2641;5319
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

