 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412620 Sapopema
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";256;244;500
"De 5 a 9 anos";226;242;468
"De 10 a 14 anos";275;234;509
"De 15 a 19 anos";351;283;634
"De 20 a 24 anos";302;296;598
"De 25 a 29 anos";278;236;514
"De 30 a 34 anos";252;233;485
"De 35 a 39 anos";269;276;545
"De 40 a 44 anos";251;222;473
"De 45 a 49 anos";210;213;423
"De 50 a 54 anos";206;176;382
"De 55 a 59 anos";176;155;331
"De 60 a 64 anos";143;163;306
"De 65 a 69 anos";131;111;242
"De 70 a 74 anos";80;70;150
"De 75 a 79 anos";66;59;125
"De 80 anos ou mais";58;53;111
"Total";3530;3266;6796
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

