 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412650 Sertanópolis
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";497;474;971
"De 5 a 9 anos";489;461;950
"De 10 a 14 anos";506;467;973
"De 15 a 19 anos";568;528;1096
"De 20 a 24 anos";631;599;1230
"De 25 a 29 anos";634;604;1238
"De 30 a 34 anos";598;595;1193
"De 35 a 39 anos";606;592;1198
"De 40 a 44 anos";568;584;1152
"De 45 a 49 anos";559;601;1160
"De 50 a 54 anos";584;611;1195
"De 55 a 59 anos";516;546;1062
"De 60 a 64 anos";395;478;873
"De 65 a 69 anos";323;378;701
"De 70 a 74 anos";248;267;515
"De 75 a 79 anos";163;207;370
"De 80 anos ou mais";191;255;446
"Total";8076;8247;16323
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

