 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412770 Toledo
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";4412;4208;8620
"De 5 a 9 anos";4207;4148;8355
"De 10 a 14 anos";4545;4505;9050
"De 15 a 19 anos";5445;5316;10761
"De 20 a 24 anos";5916;5908;11824
"De 25 a 29 anos";6029;6076;12105
"De 30 a 34 anos";5811;5896;11707
"De 35 a 39 anos";5252;5489;10741
"De 40 a 44 anos";4763;5035;9798
"De 45 a 49 anos";4514;4913;9427
"De 50 a 54 anos";4293;4784;9077
"De 55 a 59 anos";3560;4011;7571
"De 60 a 64 anos";2697;3035;5732
"De 65 a 69 anos";1962;2252;4214
"De 70 a 74 anos";1304;1693;2997
"De 75 a 79 anos";880;1203;2083
"De 80 anos ou mais";958;1442;2400
"Total";66548;69914;136462
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

