 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412785 Três Barras do Paraná
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";513;487;1000
"De 5 a 9 anos";580;569;1149
"De 10 a 14 anos";629;572;1201
"De 15 a 19 anos";573;561;1134
"De 20 a 24 anos";560;531;1091
"De 25 a 29 anos";444;468;912
"De 30 a 34 anos";419;419;838
"De 35 a 39 anos";422;441;863
"De 40 a 44 anos";416;410;826
"De 45 a 49 anos";371;338;709
"De 50 a 54 anos";299;302;601
"De 55 a 59 anos";236;247;483
"De 60 a 64 anos";212;217;429
"De 65 a 69 anos";177;161;338
"De 70 a 74 anos";118;103;221
"De 75 a 79 anos";68;74;142
"De 80 anos ou mais";64;67;131
"Total";6101;5967;12068
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

