 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412820 União da Vitória
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2152;1943;4095
"De 5 a 9 anos";2411;2211;4622
"De 10 a 14 anos";2597;2477;5074
"De 15 a 19 anos";2441;2427;4868
"De 20 a 24 anos";2239;2258;4497
"De 25 a 29 anos";2084;2157;4241
"De 30 a 34 anos";2022;1976;3998
"De 35 a 39 anos";1880;1994;3874
"De 40 a 44 anos";1755;1985;3740
"De 45 a 49 anos";1639;1810;3449
"De 50 a 54 anos";1364;1425;2789
"De 55 a 59 anos";1081;1259;2340
"De 60 a 64 anos";827;968;1795
"De 65 a 69 anos";613;793;1406
"De 70 a 74 anos";486;674;1160
"De 75 a 79 anos";308;444;752
"De 80 anos ou mais";271;443;714
"Total";26170;27244;53414
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

