 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 412870 Vitorino
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";285;304;589
"De 5 a 9 anos";326;349;675
"De 10 a 14 anos";306;279;585
"De 15 a 19 anos";316;295;611
"De 20 a 24 anos";246;250;496
"De 25 a 29 anos";227;235;462
"De 30 a 34 anos";269;252;521
"De 35 a 39 anos";250;247;497
"De 40 a 44 anos";204;219;423
"De 45 a 49 anos";176;162;338
"De 50 a 54 anos";157;153;310
"De 55 a 59 anos";114;134;248
"De 60 a 64 anos";109;117;226
"De 65 a 69 anos";97;87;184
"De 70 a 74 anos";63;63;126
"De 75 a 79 anos";41;57;98
"De 80 anos ou mais";21;41;62
"Total";3207;3244;6451
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

