 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 420060 Águas Mornas
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";135;145;280
"De 5 a 9 anos";192;202;394
"De 10 a 14 anos";242;254;496
"De 15 a 19 anos";259;256;515
"De 20 a 24 anos";248;235;483
"De 25 a 29 anos";219;194;413
"De 30 a 34 anos";193;194;387
"De 35 a 39 anos";212;209;421
"De 40 a 44 anos";243;207;450
"De 45 a 49 anos";208;173;381
"De 50 a 54 anos";159;141;300
"De 55 a 59 anos";130;127;257
"De 60 a 64 anos";102;101;203
"De 65 a 69 anos";88;82;170
"De 70 a 74 anos";61;64;125
"De 75 a 79 anos";44;58;102
"De 80 anos ou mais";40;50;90
"Total";2775;2692;5467
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

