 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 420208 Bandeirante
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";101;87;188
"De 5 a 9 anos";112;95;207
"De 10 a 14 anos";150;124;274
"De 15 a 19 anos";146;130;276
"De 20 a 24 anos";107;103;210
"De 25 a 29 anos";96;74;170
"De 30 a 34 anos";88;74;162
"De 35 a 39 anos";108;97;205
"De 40 a 44 anos";115;104;219
"De 45 a 49 anos";122;94;216
"De 50 a 54 anos";112;99;211
"De 55 a 59 anos";77;92;169
"De 60 a 64 anos";83;70;153
"De 65 a 69 anos";64;51;115
"De 70 a 74 anos";44;55;99
"De 75 a 79 anos";27;35;62
"De 80 anos ou mais";23;25;48
"Total";1575;1409;2984
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

