 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 420300 Caçador
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3737;3443;7180
"De 5 a 9 anos";3533;3318;6851
"De 10 a 14 anos";3300;3171;6471
"De 15 a 19 anos";3130;3060;6190
"De 20 a 24 anos";2942;2913;5855
"De 25 a 29 anos";2789;2752;5541
"De 30 a 34 anos";2690;2746;5436
"De 35 a 39 anos";2532;2540;5072
"De 40 a 44 anos";1873;2054;3927
"De 45 a 49 anos";1536;1591;3127
"De 50 a 54 anos";1285;1300;2585
"De 55 a 59 anos";967;1047;2014
"De 60 a 64 anos";767;868;1635
"De 65 a 69 anos";540;612;1152
"De 70 a 74 anos";386;439;825
"De 75 a 79 anos";263;369;632
"De 80 anos ou mais";142;192;334
"Total";32412;32415;64827
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

