 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 420519 Ermo
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";72;73;145
"De 5 a 9 anos";80;63;143
"De 10 a 14 anos";94;67;161
"De 15 a 19 anos";103;83;186
"De 20 a 24 anos";102;78;180
"De 25 a 29 anos";89;77;166
"De 30 a 34 anos";73;74;147
"De 35 a 39 anos";68;73;141
"De 40 a 44 anos";73;69;142
"De 45 a 49 anos";71;69;140
"De 50 a 54 anos";62;67;129
"De 55 a 59 anos";60;58;118
"De 60 a 64 anos";47;43;90
"De 65 a 69 anos";37;33;70
"De 70 a 74 anos";20;23;43
"De 75 a 79 anos";15;22;37
"De 80 anos ou mais";16;25;41
"Total";1082;997;2079
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

