 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 420600 Governador Celso Ramos
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";421;398;819
"De 5 a 9 anos";574;518;1092
"De 10 a 14 anos";612;538;1150
"De 15 a 19 anos";559;541;1100
"De 20 a 24 anos";567;516;1083
"De 25 a 29 anos";520;517;1037
"De 30 a 34 anos";537;552;1089
"De 35 a 39 anos";564;502;1066
"De 40 a 44 anos";523;449;972
"De 45 a 49 anos";391;377;768
"De 50 a 54 anos";357;298;655
"De 55 a 59 anos";256;224;480
"De 60 a 64 anos";173;173;346
"De 65 a 69 anos";140;144;284
"De 70 a 74 anos";87;122;209
"De 75 a 79 anos";63;95;158
"De 80 anos ou mais";49;67;116
"Total";6393;6031;12424
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

