 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 420770 Ipumirim
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";242;238;480
"De 5 a 9 anos";299;307;606
"De 10 a 14 anos";330;320;650
"De 15 a 19 anos";346;323;669
"De 20 a 24 anos";301;295;596
"De 25 a 29 anos";278;256;534
"De 30 a 34 anos";264;254;518
"De 35 a 39 anos";311;268;579
"De 40 a 44 anos";282;257;539
"De 45 a 49 anos";243;220;463
"De 50 a 54 anos";219;217;436
"De 55 a 59 anos";168;167;335
"De 60 a 64 anos";121;141;262
"De 65 a 69 anos";89;102;191
"De 70 a 74 anos";72;85;157
"De 75 a 79 anos";38;55;93
"De 80 anos ou mais";31;43;74
"Total";3634;3548;7182
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

