 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 420870 Jacinto Machado
Período:2008
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";330;328;658
"De 5 a 9 anos";422;426;848
"De 10 a 14 anos";452;490;942
"De 15 a 19 anos";502;481;983
"De 20 a 24 anos";479;465;944
"De 25 a 29 anos";425;415;840
"De 30 a 34 anos";374;381;755
"De 35 a 39 anos";393;388;781
"De 40 a 44 anos";422;411;833
"De 45 a 49 anos";395;377;772
"De 50 a 54 anos";309;317;626
"De 55 a 59 anos";272;269;541
"De 60 a 64 anos";198;222;420
"De 65 a 69 anos";148;172;320
"De 70 a 74 anos";128;140;268
"De 75 a 79 anos";89;96;185
"De 80 anos ou mais";65;84;149
"Total";5403;5462;10865
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

