 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421055 Marema
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";45;48;93
"De 5 a 9 anos";90;65;155
"De 10 a 14 anos";111;103;214
"De 15 a 19 anos";108;101;209
"De 20 a 24 anos";85;69;154
"De 25 a 29 anos";71;77;148
"De 30 a 34 anos";77;73;150
"De 35 a 39 anos";81;80;161
"De 40 a 44 anos";99;96;195
"De 45 a 49 anos";99;86;185
"De 50 a 54 anos";89;73;162
"De 55 a 59 anos";66;60;126
"De 60 a 64 anos";49;46;95
"De 65 a 69 anos";42;43;85
"De 70 a 74 anos";28;33;61
"De 75 a 79 anos";20;25;45
"De 80 anos ou mais";17;31;48
"Total";1177;1109;2286
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

