 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421105 Monte Carlo
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";433;413;846
"De 5 a 9 anos";561;568;1129
"De 10 a 14 anos";511;486;997
"De 15 a 19 anos";420;412;832
"De 20 a 24 anos";406;428;834
"De 25 a 29 anos";420;390;810
"De 30 a 34 anos";396;372;768
"De 35 a 39 anos";377;335;712
"De 40 a 44 anos";297;294;591
"De 45 a 49 anos";238;227;465
"De 50 a 54 anos";181;169;350
"De 55 a 59 anos";153;149;302
"De 60 a 64 anos";117;106;223
"De 65 a 69 anos";81;78;159
"De 70 a 74 anos";58;54;112
"De 75 a 79 anos";42;36;78
"De 80 anos ou mais";28;38;66
"Total";4719;4555;9274
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

