 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421125 Morro Grande
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";104;98;202
"De 5 a 9 anos";122;111;233
"De 10 a 14 anos";148;134;282
"De 15 a 19 anos";157;141;298
"De 20 a 24 anos";130;128;258
"De 25 a 29 anos";117;108;225
"De 30 a 34 anos";105;107;212
"De 35 a 39 anos";121;115;236
"De 40 a 44 anos";133;112;245
"De 45 a 49 anos";109;96;205
"De 50 a 54 anos";91;61;152
"De 55 a 59 anos";62;62;124
"De 60 a 64 anos";48;44;92
"De 65 a 69 anos";32;29;61
"De 70 a 74 anos";24;25;49
"De 75 a 79 anos";20;23;43
"De 80 anos ou mais";17;23;40
"Total";1540;1417;2957
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

