 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421189 Painel
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";82;78;160
"De 5 a 9 anos";74;83;157
"De 10 a 14 anos";93;83;176
"De 15 a 19 anos";90;85;175
"De 20 a 24 anos";88;88;176
"De 25 a 29 anos";81;73;154
"De 30 a 34 anos";79;76;155
"De 35 a 39 anos";85;77;162
"De 40 a 44 anos";88;98;186
"De 45 a 49 anos";97;72;169
"De 50 a 54 anos";86;68;154
"De 55 a 59 anos";74;75;149
"De 60 a 64 anos";76;55;131
"De 65 a 69 anos";56;36;92
"De 70 a 74 anos";38;37;75
"De 75 a 79 anos";27;32;59
"De 80 anos ou mais";25;19;44
"Total";1239;1135;2374
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

