 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421310 Piratuba
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";199;213;412
"De 5 a 9 anos";230;225;455
"De 10 a 14 anos";246;252;498
"De 15 a 19 anos";291;235;526
"De 20 a 24 anos";331;208;539
"De 25 a 29 anos";298;195;493
"De 30 a 34 anos";321;185;506
"De 35 a 39 anos";302;180;482
"De 40 a 44 anos";279;177;456
"De 45 a 49 anos";263;151;414
"De 50 a 54 anos";164;131;295
"De 55 a 59 anos";134;99;233
"De 60 a 64 anos";91;90;181
"De 65 a 69 anos";62;61;123
"De 70 a 74 anos";43;51;94
"De 75 a 79 anos";33;42;75
"De 80 anos ou mais";21;30;51
"Total";3308;2525;5833
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

