 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421335 Ponte Alta do Norte
Período:2020
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";152;141;293
"De 5 a 9 anos";141;131;272
"De 10 a 14 anos";139;99;238
"De 15 a 19 anos";118;121;239
"De 20 a 24 anos";151;146;297
"De 25 a 29 anos";136;169;305
"De 30 a 34 anos";126;139;265
"De 35 a 39 anos";127;113;240
"De 40 a 44 anos";97;123;220
"De 45 a 49 anos";108;101;209
"De 50 a 54 anos";109;112;221
"De 55 a 59 anos";79;84;163
"De 60 a 64 anos";71;83;154
"De 65 a 69 anos";58;49;107
"De 70 a 74 anos";32;38;70
"De 75 a 79 anos";26;33;59
"De 80 anos ou mais";24;44;68
"Total";1694;1726;3420
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

