 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421520 Romelândia
Período:2002
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";285;270;555
"De 5 a 9 anos";318;317;635
"De 10 a 14 anos";353;331;684
"De 15 a 19 anos";306;311;617
"De 20 a 24 anos";205;225;430
"De 25 a 29 anos";168;177;345
"De 30 a 34 anos";197;214;411
"De 35 a 39 anos";236;248;484
"De 40 a 44 anos";250;241;491
"De 45 a 49 anos";224;206;430
"De 50 a 54 anos";187;174;361
"De 55 a 59 anos";146;145;291
"De 60 a 64 anos";124;124;248
"De 65 a 69 anos";84;97;181
"De 70 a 74 anos";54;74;128
"De 75 a 79 anos";40;53;93
"De 80 anos ou mais";22;28;50
"Total";3199;3235;6434
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

