 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421660 São José
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";7069;6744;13813
"De 5 a 9 anos";6994;6686;13680
"De 10 a 14 anos";7635;7424;15059
"De 15 a 19 anos";8898;8862;17760
"De 20 a 24 anos";9726;9758;19484
"De 25 a 29 anos";10768;10920;21688
"De 30 a 34 anos";10541;10830;21371
"De 35 a 39 anos";9168;9472;18640
"De 40 a 44 anos";8095;8547;16642
"De 45 a 49 anos";7309;8230;15539
"De 50 a 54 anos";6400;7655;14055
"De 55 a 59 anos";5293;6481;11774
"De 60 a 64 anos";4014;5028;9042
"De 65 a 69 anos";2686;3499;6185
"De 70 a 74 anos";1611;2315;3926
"De 75 a 79 anos";1030;1633;2663
"De 80 anos ou mais";934;2011;2945
"Total";108171;116095;224266
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

