 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421700 São Ludgero
Período:2011
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";434;359;793
"De 5 a 9 anos";425;413;838
"De 10 a 14 anos";493;470;963
"De 15 a 19 anos";561;523;1084
"De 20 a 24 anos";615;564;1179
"De 25 a 29 anos";565;507;1072
"De 30 a 34 anos";467;486;953
"De 35 a 39 anos";435;437;872
"De 40 a 44 anos";476;442;918
"De 45 a 49 anos";413;394;807
"De 50 a 54 anos";298;282;580
"De 55 a 59 anos";216;214;430
"De 60 a 64 anos";154;158;312
"De 65 a 69 anos";108;122;230
"De 70 a 74 anos";80;93;173
"De 75 a 79 anos";52;61;113
"De 80 anos ou mais";46;57;103
"Total";5838;5582;11420
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

