 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421830 Três Barras
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";881;842;1723
"De 5 a 9 anos";964;978;1942
"De 10 a 14 anos";928;869;1797
"De 15 a 19 anos";885;889;1774
"De 20 a 24 anos";854;819;1673
"De 25 a 29 anos";795;772;1567
"De 30 a 34 anos";690;679;1369
"De 35 a 39 anos";633;607;1240
"De 40 a 44 anos";565;591;1156
"De 45 a 49 anos";501;508;1009
"De 50 a 54 anos";385;403;788
"De 55 a 59 anos";316;325;641
"De 60 a 64 anos";259;244;503
"De 65 a 69 anos";174;186;360
"De 70 a 74 anos";109;126;235
"De 75 a 79 anos";67;90;157
"De 80 anos ou mais";54;94;148
"Total";9060;9022;18082
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

