 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 421875 Tunápolis
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";139;133;272
"De 5 a 9 anos";132;127;259
"De 10 a 14 anos";134;113;247
"De 15 a 19 anos";140;134;274
"De 20 a 24 anos";173;166;339
"De 25 a 29 anos";174;159;333
"De 30 a 34 anos";176;166;342
"De 35 a 39 anos";152;166;318
"De 40 a 44 anos";148;159;307
"De 45 a 49 anos";176;163;339
"De 50 a 54 anos";186;160;346
"De 55 a 59 anos";179;150;329
"De 60 a 64 anos";135;133;268
"De 65 a 69 anos";105;111;216
"De 70 a 74 anos";77;82;159
"De 75 a 79 anos";45;64;109
"De 80 anos ou mais";43;80;123
"Total";2314;2266;4580
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

